Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
4                      	4065            	1                 	142             	7,22                     	3,50                     	                         	09:20                                	16:36                                	                                     	03:33                                  	03:06                                  	                                       	4,38                                      	2,93                                      	0,10                       	0,10                       	1,40                        	0,00                        	1,80                        	0,60                        	3,10                         	2,60                         	2,0                                   	1,1                                   	                           	3,4                                  	                            	2,9                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
5                      	5408            	1                 	126             	24,85                    	6,82                     	                         	09:39                                	16:51                                	                                     	11:22                                  	06:22                                  	                                       	0,00                                      	2,05                                      	0,00                       	0,00                       	0,00                        	0,20                        	0,00                        	1,00                        	0,00                         	1,50                         	2,4                                   	1,0                                   	                           	1,9                                  	                            	1,9                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
5                      	4584            	1                 	84              	11,34                    	6,57                     	                         	09:37                                	16:55                                	                                     	16:13                                  	12:30                                  	                                       	0,63                                      	0,60                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,20                        	0,20                        	0,50                         	0,50                         	0,6                                   	0,5                                   	                           	1,5                                  	                            	1,1                                  	                            	                             	0,2                                     	                                      	0,4                                     	                                     	                                        	                                          
5                      	4572            	1                 	90              	8,38                     	4,45                     	                         	09:37                                	16:51                                	                                     	15:06                                  	14:48                                  	                                       	0,80                                      	0,68                                      	0,10                       	0,10                       	0,10                        	0,00                        	0,30                        	0,30                        	0,60                         	0,50                         	0,5                                   	0,3                                   	                           	1,4                                  	                            	1,1                                  	                            	                             	0,0                                     	                                      	0,0                                     	                                     	                                        	                                          
5                      	4554            	1                 	113             	9,79                     	7,00                     	                         	09:38                                	16:51                                	                                     	13:03                                  	14:24                                  	                                       	1,03                                      	1,25                                      	0,10                       	0,10                       	0,00                        	0,10                        	0,40                        	0,60                        	0,80                         	0,90                         	0,7                                   	0,4                                   	                           	1,4                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
5                      	4544            	1                 	92              	8,37                     	4,49                     	                         	09:38                                	17:03                                	                                     	14:54                                  	13:15                                  	                                       	0,80                                      	0,20                                      	0,00                       	0,00                       	0,00                        	0,00                        	0,40                        	0,00                        	0,60                         	0,20                         	0,5                                   	0,3                                   	                           	1,1                                  	                            	0,9                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	2648            	1                 	157             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
6                      	4426            	2                 	81              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
6                      	4475            	1                 	147             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
6                      	4477            	2                 	165             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
6                      	4465            	2                 	161             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
6                      	3530            	1                 	144             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
6                      	3458            	1                 	164             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
6                      	3437            	1                 	165             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
