Número do animal;Número do grupo;Dias em Lactação;Número de lactação;Data;Nome da sala de ordenha;Número da sala de ordenha;Número da sessão;Número do lote;Número de MPC;Hora ID;Hora de início;Duração do leite (mm:ss);Hora do fim;Produção (kg);Produção Relativa (%);Produção primeiros 2 minutos;Produção de LEC;Baixa produção;Segunda volta
4550;4;133;1;11/05/2017;Parlor1;1;2;2;5;;11/05/2017 12:51;10:55;13:02;4,00;82,00;1,40;;Unchecked;Unchecked
4065;4;137;1;11/05/2017;Parlor1;1;2;2;8;;11/05/2017 12:52;06:32;12:59;0,63;108,00;0,33;;Unchecked;Unchecked
4573;4;132;1;11/05/2017;Parlor1;1;2;2;7;;11/05/2017 12:53;11:44;13:04;2,79;200,00;1,03;;Unchecked;Unchecked
5407;4;133;1;11/05/2017;Parlor1;1;2;2;6;;11/05/2017 12:53;11:19;13:04;3,00;200,00;1,13;;Unchecked;Unchecked
4587;4;137;1;11/05/2017;Parlor1;1;2;3;3;;11/05/2017 12:55;11:32;13:06;6,56;200,00;1,18;;Unchecked;Unchecked
4583;4;135;1;11/05/2017;Parlor1;1;2;3;4;;11/05/2017 12:54;09:36;13:04;4,04;206,00;2,00;;Unchecked;Unchecked
4546;4;134;1;11/05/2017;Parlor1;1;2;3;2;;11/05/2017 12:55;10:32;13:05;4,11;211,00;1,10;;Unchecked;Unchecked
4581;4;134;1;11/05/2017;Parlor1;1;2;3;1;;11/05/2017 12:54;29:29;13:24;4,69;200,00;0,00;;Unchecked;Unchecked
4560;3;131;1;11/05/2017;Parlor1;1;2;4;3;;11/05/2017 13:38;07:28;13:46;6,34;200,00;1,35;;Unchecked;Unchecked
4535;3;129;1;11/05/2017;Parlor1;1;2;4;2;;11/05/2017 13:38;06:22;13:44;2,49;162,00;1,58;;Unchecked;Unchecked
5403;3;130;1;11/05/2017;Parlor1;1;2;4;1;;11/05/2017 13:38;06:27;13:44;3,48;200,00;2,12;;Unchecked;Unchecked
4066;3;132;1;11/05/2017;Parlor1;1;2;0;8;;11/05/2017 13:15;06:47;13:22;3,03;0,00;0,03;;Unchecked;Unchecked
4548;4;134;1;11/05/2017;Parlor1;1;2;0;5;;11/05/2017 13:13;08:49;13:22;3,43;0,00;2,58;;Unchecked;Unchecked
5409;3;130;1;11/05/2017;Parlor1;1;2;0;5;;11/05/2017 13:40;23:54;14:04;4,64;0,00;0,00;;Unchecked;Unchecked
4585;2;127;1;11/05/2017;Parlor1;1;2;0;6;;11/05/2017 13:40;08:00;13:48;0,00;0,00;0,00;;Unchecked;Unchecked
4582;3;129;1;11/05/2017;Parlor1;1;2;0;7;;11/05/2017 13:41;22:59;14:04;0,00;0,00;0,00;;Unchecked;Unchecked
4536;2;128;1;11/05/2017;Parlor1;1;2;0;8;;11/05/2017 13:42;08:00;13:50;0,00;0,00;0,00;;Unchecked;Unchecked
4546;4;134;1;11/05/2017;Parlor1;1;3;1;3;;11/05/2017 15:47;07:24;15:55;2,21;179,00;1,00;;Unchecked;Unchecked
4581;4;134;1;11/05/2017;Parlor1;1;3;1;4;;11/05/2017 15:47;11:48;15:59;1,83;160,00;0,60;;Unchecked;Unchecked
4583;4;135;1;11/05/2017;Parlor1;1;3;1;2;;11/05/2017 15:46;08:24;15:54;2,14;169,00;1,60;;Unchecked;Unchecked
4587;4;137;1;11/05/2017;Parlor1;1;3;1;1;;11/05/2017 15:46;08:51;15:54;2,49;230,00;1,15;;Unchecked;Unchecked
4525;3;129;1;11/05/2017;Parlor1;1;3;2;3;;11/05/2017 16:11;12:02;16:23;1,04;100,00;0,00;;Unchecked;Unchecked
4535;3;129;1;11/05/2017;Parlor1;1;3;2;4;;11/05/2017 16:10;12:12;16:22;1,71;203,00;1,00;;Unchecked;Unchecked
5409;3;130;1;11/05/2017;Parlor1;1;3;2;2;;11/05/2017 16:10;12:26;16:23;1,62;41,00;0,03;;Checked;Unchecked
5403;3;130;1;11/05/2017;Parlor1;1;3;2;1;;11/05/2017 16:11;11:05;16:22;2,06;200,00;1,60;;Unchecked;Unchecked
4586;2;132;1;11/05/2017;Parlor1;1;3;4;1;;11/05/2017 16:28;09:14;16:38;0,59;101,00;0,35;;Unchecked;Unchecked
4065;4;137;1;11/05/2017;Parlor1;1;3;0;8;;11/05/2017 15:48;08:00;15:56;1,08;0,00;0,60;;Unchecked;Unchecked
4548;4;134;1;11/05/2017;Parlor1;1;3;0;7;;11/05/2017 15:48;08:00;15:56;3,43;0,00;3,05;;Unchecked;Unchecked
4550;4;133;1;11/05/2017;Parlor1;1;3;0;6;;11/05/2017 15:48;06:26;15:55;3,23;0,00;7,00;;Unchecked;Unchecked
4551;3;129;1;11/05/2017;Parlor1;1;3;0;8;;11/05/2017 16:04;08:00;16:12;4,44;0,00;0,00;;Unchecked;Unchecked
4560;3;131;1;11/05/2017;Parlor1;1;3;0;6;;11/05/2017 16:03;08:00;16:11;3,63;0,00;0,00;;Unchecked;Unchecked
4573;4;132;1;11/05/2017;Parlor1;1;3;0;5;;11/05/2017 16:03;06:49;16:10;1,91;0,00;0,00;;Unchecked;Unchecked
5402;2;128;1;11/05/2017;Parlor1;1;3;0;7;;11/05/2017 16:04;08:00;16:12;2,64;0,00;0,00;;Unchecked;Unchecked
5407;4;133;1;11/05/2017;Parlor1;1;3;0;5;;11/05/2017 15:48;08:00;15:56;3,09;0,00;3,68;;Unchecked;Unchecked
4066;3;132;1;11/05/2017;Parlor1;1;3;0;5;;11/05/2017 16:20;08:00;16:28;0,00;0,00;0,00;;Unchecked;Unchecked
4585;2;127;1;11/05/2017;Parlor1;1;3;0;6;;11/05/2017 16:20;08:00;16:28;0,00;0,00;0,00;;Unchecked;Unchecked
