Animal Number,Group Number,Days In Milk,Lactation Number,Date,Parlor Name,Parlor Number,Session Number,Batch Number,MPC Number,Id Time,Begin Time,Milk duration (mm:ss),End Time,Yield,Rel. Yield (%),Yield First 2 Min.,ECM Yield,Low Yield,Second Lap
4551,3,52,1,5/11/2017,Parlor1,1,2,1,7,,5/11/2017 1:13 PM,22:40,1:36 PM,0.00,0.00,1.25,,Checked,Unchecked
4586,2,55,1,5/11/2017,Parlor1,1,2,5,1,,5/11/2017 2:00 PM,05:35,2:06 PM,0.62,32.00,0.15,,Checked,Unchecked
4550,4,56,1,5/11/2017,Parlor1,1,2,2,5,,5/11/2017 12:51 PM,10:55,1:02 PM,4.00,82.00,1.40,,Unchecked,Unchecked
4065,4,60,1,5/11/2017,Parlor1,1,2,2,8,,5/11/2017 12:52 PM,06:32,12:59 PM,0.63,108.00,0.33,,Unchecked,Unchecked
4573,4,55,1,5/11/2017,Parlor1,1,2,2,7,,5/11/2017 12:53 PM,11:44,1:04 PM,2.79,200.00,1.03,,Unchecked,Unchecked
5407,4,56,1,5/11/2017,Parlor1,1,2,2,6,,5/11/2017 12:53 PM,11:19,1:04 PM,3.00,200.00,1.13,,Unchecked,Unchecked
4587,4,60,1,5/11/2017,Parlor1,1,2,3,3,,5/11/2017 12:55 PM,11:32,1:06 PM,6.56,200.00,1.18,,Unchecked,Unchecked
4583,4,58,1,5/11/2017,Parlor1,1,2,3,4,,5/11/2017 12:54 PM,09:36,1:04 PM,4.04,206.00,2.00,,Unchecked,Unchecked
4546,4,57,1,5/11/2017,Parlor1,1,2,3,2,,5/11/2017 12:55 PM,10:32,1:05 PM,4.11,211.00,1.10,,Unchecked,Unchecked
4581,4,57,1,5/11/2017,Parlor1,1,2,3,1,,5/11/2017 12:54 PM,29:29,1:24 PM,4.69,200.00,0.00,,Unchecked,Unchecked
4560,3,54,1,5/11/2017,Parlor1,1,2,4,3,,5/11/2017 1:38 PM,07:28,1:46 PM,6.34,200.00,1.35,,Unchecked,Unchecked
4535,3,52,1,5/11/2017,Parlor1,1,2,4,2,,5/11/2017 1:38 PM,06:22,1:44 PM,2.49,162.00,1.58,,Unchecked,Unchecked
5403,3,53,1,5/11/2017,Parlor1,1,2,4,1,,5/11/2017 1:38 PM,06:27,1:44 PM,3.48,200.00,2.12,,Unchecked,Unchecked
4066,3,55,1,5/11/2017,Parlor1,1,2,0,8,,5/11/2017 1:15 PM,06:47,1:22 PM,3.03,0.00,0.03,,Unchecked,Unchecked
4548,4,57,1,5/11/2017,Parlor1,1,2,0,5,,5/11/2017 1:13 PM,08:49,1:22 PM,3.43,0.00,2.58,,Unchecked,Unchecked
5409,3,53,1,5/11/2017,Parlor1,1,2,0,5,,5/11/2017 1:40 PM,23:54,2:04 PM,4.64,0.00,0.00,,Unchecked,Unchecked
4585,2,50,1,5/11/2017,Parlor1,1,2,0,6,,5/11/2017 1:40 PM,08:00,1:48 PM,0.00,0.00,0.00,,Unchecked,Unchecked
4582,3,52,1,5/11/2017,Parlor1,1,2,0,7,,5/11/2017 1:41 PM,22:59,2:04 PM,0.00,0.00,0.00,,Unchecked,Unchecked
4536,2,51,1,5/11/2017,Parlor1,1,2,0,8,,5/11/2017 1:42 PM,08:00,1:50 PM,0.00,0.00,0.00,,Unchecked,Unchecked
4546,4,57,1,5/11/2017,Parlor1,1,3,1,3,,5/11/2017 3:47 PM,07:24,3:55 PM,2.21,179.00,1.00,,Unchecked,Unchecked
4581,4,57,1,5/11/2017,Parlor1,1,3,1,4,,5/11/2017 3:47 PM,11:48,3:59 PM,1.83,160.00,0.60,,Unchecked,Unchecked
4583,4,58,1,5/11/2017,Parlor1,1,3,1,2,,5/11/2017 3:46 PM,08:24,3:54 PM,2.14,169.00,1.60,,Unchecked,Unchecked
4587,4,60,1,5/11/2017,Parlor1,1,3,1,1,,5/11/2017 3:46 PM,08:51,3:54 PM,2.49,230.00,1.15,,Unchecked,Unchecked
