,Id_Animal,Hora_x,Producao,Data_x,Sessao,Timestamp,Fase,Data_y,Dia_Experimento,Dieta,Trat,Periodo,Hora_y,Temp_Vaginal
161,2406.0,2017-09-13 08:30:00,11.21,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,2,2,0,08:30:00,
162,3652.0,2017-09-12 08:00:00,12.47,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,1,3,0,08:00:00,
163,653.0,2017-09-12 08:00:00,14.24,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,1,1,0,08:00:00,
164,2623.0,2017-09-12 08:30:00,30.05,12/09/2017,S1,2017-09-12 08:30:00,2,2017-09-12 00:00:00,11,2,2,0,08:30:00,
165,2624.0,2017-09-12 08:00:00,13.58,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,2,3,0,08:00:00,
166,2662.0,2017-09-12 08:00:00,13.41,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,2,1,0,08:00:00,
167,4498.0,2017-09-12 08:00:00,12.32,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,1,1,0,08:00:00,
168,4448.0,2017-09-12 08:00:00,13.94,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,1,3,0,08:00:00,
169,4412.0,2017-09-12 08:00:00,11.08,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,1,2,0,08:00:00,
170,4021.0,2017-09-12 08:00:00,15.06,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,2,1,0,08:00:00,
171,3579.0,2017-09-12 08:00:00,13.62,12/09/2017,S1,2017-09-12 08:00:00,2,2017-09-12 00:00:00,11,1,2,0,08:00:00,
