Column1;Id_Animal;Hora_S1;Hora_S2;Hora_S3;Prod_S1;Prod_S2;Prod_S3;Data
48;54080;09:00:00;16:30:00;                                     ;1136;577;                         ;02/09/2017
49;45840;09:00:00;16:30:00;                                     ;1186;720;                         ;02/09/2017
50;45720;09:00:00;16:30:00;                                     ;856;456;                         ;02/09/2017
51;45540;;;                                     ;;;                         ;02/09/2017
52;45440;09:00:00;16:30:00;                                     ;982;405;                         ;02/09/2017
53;26480;;;                                     ;;;                         ;02/09/2017
54;44260;;;                                     ;;;                         ;02/09/2017
55;44750;;;                                     ;;;                         ;02/09/2017
56;44770;;;                                     ;;;                         ;02/09/2017
57;44650;;;                                     ;;;                         ;02/09/2017
58;35300;;;                                     ;;;                         ;02/09/2017
59;34580;;;                                     ;;;                         ;02/09/2017
60;34370;;;                                     ;;;                         ;02/09/2017
61;25600;;;                                     ;;;                         ;02/09/2017
62;24160;;;                                     ;;;                         ;02/09/2017
63;27100;;;                                     ;;;                         ;02/09/2017
64;36000;;;                                     ;;;                         ;02/09/2017
65;36440;;;                                     ;;;                         ;02/09/2017
66;37850;;;                                     ;;;                         ;02/09/2017
67;44530;;;                                     ;;;                         ;02/09/2017
68;35380;;;                                     ;;;                         ;02/09/2017
69;34600;;;                                     ;;;                         ;02/09/2017
70;24830;;;                                     ;;;                         ;02/09/2017
71;24310;;;                                     ;;;                         ;02/09/2017
0;6530;07:30:00;15:30:00;                                     ;1518;922;                         ;06/09/2017
1;26230;08:00:00;15:30:00;                                     ;1317;897;                         ;06/09/2017
2;26240;08:30:00;15:30:00;                                     ;1338;972;                         ;06/09/2017
3;26620;08:00:00;15:30:00;                                     ;1337;681;                         ;06/09/2017
4;36520;07:30:00;15:30:00;                                     ;1129;689;                         ;06/09/2017
5;45880;;;                                     ;;;                         ;06/09/2017
6;45490;;;                                     ;;;                         ;06/09/2017
7;44980;08:00:00;15:30:00;                                     ;1383;664;                         ;06/09/2017
8;44480;07:30:00;15:30:00;                                     ;1369;635;                         ;06/09/2017
9;44120;08:00:00;15:30:00;                                     ;1011;526;                         ;06/09/2017
10;44210;09:30:00;17:00:00;                                     ;759;236;                         ;06/09/2017
11;40210;08:00:00;15:30:00;                                     ;1396;629;                         ;06/09/2017
12;35790;07:30:00;15:30:00;                                     ;1282;731;                         ;06/09/2017
13;35270;;;                                     ;;;                         ;06/09/2017
14;35000;08:00:00;15:30:00;                                     ;1324;620;                         ;06/09/2017
15;34750;07:30:00;15:30:00;                                     ;1510;816;                         ;06/09/2017
16;34240;08:00:00;15:30:00;                                     ;684;562;                         ;06/09/2017
17;25810;08:00:00;15:30:00;                                     ;1647;745;                         ;06/09/2017
18;25670;07:30:00;15:30:00;                                     ;1487;853;                         ;06/09/2017
19;24680;08:00:00;15:30:00;                                     ;1289;599;                         ;06/09/2017
20;24060;08:30:00;15:30:00;                                     ;1181;598;                         ;06/09/2017
21;45860;08:30:00;16:00:00;                                     ;896;399;                         ;06/09/2017
22;54020;;;                                     ;;;                         ;06/09/2017
23;45770;;;                                     ;;;                         ;06/09/2017
24;45850;08:30:00;16:00:00;                                     ;1211;1582;                         ;06/09/2017
25;45750;08:30:00;16:00:00;                                     ;1370;610;                         ;06/09/2017
26;45450;08:30:00;16:00:00;                                     ;1308;1281;                         ;06/09/2017
27;45280;08:30:00;16:00:00;                                     ;822;213;                         ;06/09/2017
28;45360;08:30:00;16:00:00;                                     ;1044;553;                         ;06/09/2017
29;45370;08:30:00;16:00:00;                                     ;415;926;                         ;06/09/2017
30;54090;08:30:00;16:00:00;                                     ;1156;560;                         ;06/09/2017
31;54030;09:00:00;16:00:00;                                     ;1134;639;                         ;06/09/2017
32;45820;08:30:00;16:00:00;                                     ;784;946;                         ;06/09/2017
33;45600;08:30:00;16:00:00;                                     ;1540;831;                         ;06/09/2017
34;45510;08:30:00;16:00:00;                                     ;1405;676;                         ;06/09/2017
35;45570;09:00:00;16:00:00;                                     ;1405;740;                         ;06/09/2017
36;45350;09:00:00;16:00:00;                                     ;794;480;                         ;06/09/2017
37;45250;09:00:00;16:00:00;                                     ;808;564;                         ;06/09/2017
38;40660;08:30:00;16:00:00;                                     ;871;597;                         ;06/09/2017
39;54070;09:00:00;16:30:00;                                     ;1244;823;                         ;06/09/2017
40;45870;;17:00:00;                                     ;;391;                         ;06/09/2017
41;45810;09:00:00;16:30:00;                                     ;1137;862;                         ;06/09/2017
42;45830;09:00:00;16:30:00;                                     ;799;520;                         ;06/09/2017
43;45730;;;                                     ;;;                         ;06/09/2017
44;45480;09:00:00;16:30:00;                                     ;1596;886;                         ;06/09/2017
45;45500;09:00:00;16:30:00;                                     ;1059;533;                         ;06/09/2017
46;45460;09:00:00;16:30:00;                                     ;1120;701;                         ;06/09/2017
47;40650;09:00:00;16:30:00;                                     ;765;378;                         ;06/09/2017
48;54080;09:30:00;16:30:00;                                     ;1143;534;                         ;06/09/2017
49;45840;09:30:00;16:30:00;                                     ;1102;621;                         ;06/09/2017
50;45720;09:30:00;16:30:00;                                     ;838;491;                         ;06/09/2017
51;45540;09:30:00;16:30:00;                                     ;1054;495;                         ;06/09/2017
52;45440;09:00:00;16:30:00;                                     ;774;489;                         ;06/09/2017
53;26480;;;                                     ;;;                         ;06/09/2017
