,Grupo,Id_Animal,Num_Lac,Dias_Lac,Pico,Hora_S1,Hora_S2,Hora_S3,Durac_S1,Durac_S2,Durac_S3,Prod_S1,Prod_S2,Prod_S3,Hora_S1_ont,Hora_S2_ont,Hora_S3_ont,Dura_S1_ont,Dura_S2_ont,Dura_S3_ont,Prod_S1_ont,Prod_S2_ont,Prod_S3_ont,Data
3,1,653.0,2.0,129.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-06-30 00:00:00,1900-12-11 00:00:00,,14.64,8.64,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-08-02 00:00:00,1901-01-14 00:00:00,,18.19,8.54,,04/09/2017
4,1,2623.0,1.0,95.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-02-20 00:00:00,1900-10-27 00:00:00,,12.45,7.99,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-01-16 00:00:00,1900-11-24 00:00:00,,12.94,7.95,,04/09/2017
5,1,2624.0,2.0,113.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1902-02-28 00:00:00,1901-08-24 00:00:00,,13.36,10.92,,2017-09-03 08:30:00,2017-09-03 15:30:00,,1902-03-10 00:00:00,1901-08-07 00:00:00,,13.22,9.87,,04/09/2017
6,1,2662.0,2.0,142.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-07-06 00:00:00,1900-11-07 00:00:00,,13.24,7.05,,2017-09-03 09:30:00,2017-09-03 17:00:00,,1901-06-01 00:00:00,1900-12-10 00:00:00,,0.49,6.81,,04/09/2017
7,1,4588.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,04/09/2017
8,1,4549.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,04/09/2017
9,1,4498.0,1.0,89.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1903-03-20 00:00:00,1902-05-30 00:00:00,,14.27,9.31,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1903-06-11 00:00:00,1902-06-01 00:00:00,,15.09,8.74,,04/09/2017
10,1,4448.0,1.0,154.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-10-14 00:00:00,1901-02-28 00:00:00,,13.38,6.38,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-12-08 00:00:00,1901-02-21 00:00:00,,13.42,6.39,,04/09/2017
11,1,4412.0,2.0,92.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-01-24 00:00:00,1900-08-12 00:00:00,,10.74,5.0,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-01-13 00:00:00,1900-08-12 00:00:00,,9.72,4.98,,04/09/2017
12,1,4421.0,1.0,121.0,,,2017-09-04 15:30:00,,,1900-08-24 00:00:00,,,4.26,,2017-09-03 09:30:00,2017-09-03 17:00:00,,1901-03-15 00:00:00,1900-09-03 00:00:00,,7.97,4.27,,04/09/2017
13,1,4021.0,2.0,99.0,,,2017-09-04 15:30:00,,,1901-01-10 00:00:00,,,7.34,,2017-09-03 08:30:00,2017-09-03 15:30:00,,1901-03-30 00:00:00,1900-10-06 00:00:00,,13.43,5.4,,04/09/2017
