,Id_Animal,Hora_S1,Hora_S2,Hora_S3,Prod_S1,Prod_S2,Prod_S3,Data
63,2710.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
64,3600.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
65,3644.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
66,3785.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
67,4453.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
68,3538.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
69,3460.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
70,2483.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
71,2431.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
0,653.0,07:50                                ,15:22                                ,                                     ,14.64                    ,8.64                     ,                         ,04/09/2017
1,2623.0,08:03                                ,15:32                                ,                                     ,12.45                    ,7.99                     ,                         ,04/09/2017
2,2624.0,08:12                                ,15:35                                ,                                     ,13.36                    ,10.92                    ,                         ,04/09/2017
3,2662.0,08:12                                ,15:42                                ,                                     ,13.24                    ,7.05                     ,                         ,04/09/2017
4,3652.0,07:49                                ,15:21                                ,                                     ,7.65                     ,6.42                     ,                         ,04/09/2017
5,4588.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
6,4549.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
7,4498.0,07:49                                ,15:18                                ,                                     ,14.27                    ,9.31                     ,                         ,04/09/2017
8,4448.0,07:49                                ,15:20                                ,                                     ,13.38                    ,6.38                     ,                         ,04/09/2017
9,4412.0,07:49                                ,15:22                                ,                                     ,10.74                    ,5.00                     ,                         ,04/09/2017
10,4421.0,                                     ,15:32                                ,                                     ,                         ,4.26                     ,                         ,04/09/2017
11,4021.0,                                     ,15:42                                ,                                     ,                         ,7.34                     ,                         ,04/09/2017
12,3579.0,07:50                                ,15:20                                ,                                     ,12.88                    ,7.14                     ,                         ,04/09/2017
13,3527.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
14,3500.0,08:03                                ,15:35                                ,                                     ,14.01                    ,6.60                     ,                         ,04/09/2017
15,3475.0,07:50                                ,15:21                                ,                                     ,14.40                    ,7.11                     ,                         ,04/09/2017
16,3424.0,08:11                                ,15:35                                ,                                     ,7.91                     ,5.37                     ,                         ,04/09/2017
