,Fase,Data,Dia_Experimento,Id_Animal,Dieta,Trat,Periodo,Hora,Temp_Vaginal,Timestamp
181,1,2017-07-24 00:00:00,16,2416,2,2,1,02:01:00,39.125,2017-07-24 02:01:00
182,1,2017-07-24 00:00:00,16,2416,2,2,1,02:31:00,39.125,2017-07-24 02:31:00
183,1,2017-07-24 00:00:00,16,2416,2,2,1,03:01:00,39.125,2017-07-24 03:01:00
184,1,2017-07-24 00:00:00,16,2416,2,2,1,03:31:00,39.25,2017-07-24 03:31:00
185,1,2017-07-24 00:00:00,16,2416,2,2,1,04:01:00,39.125,2017-07-24 04:01:00
186,1,2017-07-24 00:00:00,16,2416,2,2,1,04:31:00,39.125,2017-07-24 04:31:00
187,1,2017-07-24 00:00:00,16,2416,2,2,1,05:01:00,39.125,2017-07-24 05:01:00
188,1,2017-07-24 00:00:00,16,2416,2,2,1,05:31:00,39.375,2017-07-24 05:31:00
189,1,2017-07-24 00:00:00,16,2416,2,2,1,06:01:00,38.875,2017-07-24 06:01:00
190,1,2017-07-24 00:00:00,16,2416,2,2,1,06:31:00,38.75,2017-07-24 06:31:00
191,1,2017-07-24 00:00:00,16,2416,2,2,1,07:01:00,38.875,2017-07-24 07:01:00
192,1,2017-07-24 00:00:00,16,2416,2,2,1,07:31:00,39.0,2017-07-24 07:31:00
193,1,2017-07-24 00:00:00,16,2416,2,2,1,08:01:00,39.0,2017-07-24 08:01:00
194,1,2017-07-24 00:00:00,16,2416,2,2,1,08:31:00,39.125,2017-07-24 08:31:00
195,1,2017-07-24 00:00:00,16,2416,2,2,1,09:01:00,39.375,2017-07-24 09:01:00
196,1,2017-07-24 00:00:00,16,2416,2,2,1,09:31:00,39.125,2017-07-24 09:31:00
197,1,2017-07-24 00:00:00,16,2416,2,2,1,10:01:00,39.25,2017-07-24 10:01:00
198,1,2017-07-24 00:00:00,16,2416,2,2,1,10:31:00,39.125,2017-07-24 10:31:00
199,1,2017-07-24 00:00:00,16,2416,2,2,1,11:01:00,39.0,2017-07-24 11:01:00
200,1,2017-07-24 00:00:00,16,2416,2,2,1,11:31:00,39.125,2017-07-24 11:31:00
201,1,2017-07-24 00:00:00,16,2416,2,2,1,12:01:00,39.375,2017-07-24 12:01:00
202,1,2017-07-24 00:00:00,16,2416,2,2,1,12:31:00,39.875,2017-07-24 12:31:00
203,1,2017-07-24 00:00:00,16,2416,2,2,1,13:01:00,39.625,2017-07-24 13:01:00
204,1,2017-07-24 00:00:00,16,2416,2,2,1,13:31:00,39.375,2017-07-24 13:31:00
205,1,2017-07-24 00:00:00,16,2416,2,2,1,14:01:00,24.75,2017-07-24 14:01:00
206,1,2017-07-24 00:00:00,16,2416,2,2,1,14:31:00,39.375,2017-07-24 14:31:00
207,1,2017-07-24 00:00:00,16,2416,2,2,1,15:01:00,39.375,2017-07-24 15:01:00
208,1,2017-07-24 00:00:00,16,2416,2,2,1,15:31:00,39.125,2017-07-24 15:31:00
209,1,2017-07-24 00:00:00,16,2416,2,2,1,16:01:00,39.125,2017-07-24 16:01:00
210,1,2017-07-24 00:00:00,16,2416,2,2,1,16:31:00,39.5,2017-07-24 16:31:00
211,1,2017-07-24 00:00:00,16,2416,2,2,1,17:01:00,39.5,2017-07-24 17:01:00
212,1,2017-07-24 00:00:00,16,2416,2,2,1,17:31:00,39.25,2017-07-24 17:31:00
213,1,2017-07-24 00:00:00,16,2416,2,2,1,18:01:00,39.25,2017-07-24 18:01:00
214,1,2017-07-24 00:00:00,16,2416,2,2,1,18:31:00,39.5,2017-07-24 18:31:00
215,1,2017-07-24 00:00:00,16,2416,2,2,1,19:01:00,39.5,2017-07-24 19:01:00
216,1,2017-07-24 00:00:00,16,2416,2,2,1,19:31:00,39.375,2017-07-24 19:31:00
217,1,2017-07-24 00:00:00,16,2416,2,2,1,20:01:00,39.5,2017-07-24 20:01:00
218,1,2017-07-24 00:00:00,16,2416,2,2,1,20:31:00,39.5,2017-07-24 20:31:00
219,1,2017-07-24 00:00:00,16,2416,2,2,1,21:01:00,39.5,2017-07-24 21:01:00
220,1,2017-07-24 00:00:00,16,2416,2,2,1,21:31:00,39.375,2017-07-24 21:31:00
221,1,2017-07-24 00:00:00,16,2416,2,2,1,22:01:00,39.25,2017-07-24 22:01:00
