Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
6                      	4465            	2                 	111             	14,90                    	5,89                     	                         	07:52                                	15:26                                	                                     	09:40                                  	04:50                                  	                                       	3,17                                      	2,38                                      	0,00                       	0,00                       	0,70                        	0,50                        	1,80                        	1,30                        	2,09                         	1,60                         	1,5                                   	1,2                                   	                           	2,5                                  	                            	2,0                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	3530            	1                 	94              	12,93                    	7,65                     	                         	07:41                                	15:14                                	                                     	08:33                                  	07:16                                  	                                       	2,98                                      	2,05                                      	0,00                       	0,00                       	1,10                        	0,60                        	1,60                        	1,20                        	1,90                         	1,30                         	1,5                                   	1,0                                   	                           	2,2                                  	                            	1,8                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	3458            	1                 	114             	10,86                    	5,85                     	                         	07:39                                	15:14                                	                                     	07:58                                  	05:20                                  	                                       	2,25                                      	2,50                                      	0,00                       	0,00                       	0,60                        	0,40                        	1,20                        	1,40                        	1,50                         	1,70                         	1,3                                   	1,0                                   	                           	2,2                                  	                            	2,1                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	3437            	1                 	115             	13,66                    	6,49                     	                         	07:52                                	15:28                                	                                     	06:54                                  	04:02                                  	                                       	3,85                                      	3,18                                      	0,10                       	0,10                       	1,10                        	0,80                        	2,09                        	0,90                        	2,50                         	2,50                         	1,9                                   	1,6                                   	                           	2,8                                  	                            	2,9                                  	                            	                             	0,2                                     	                                      	0,2                                     	                                     	                                        	                                          
6                      	2560            	2                 	117             	12,04                    	6,35                     	                         	07:59                                	15:28                                	                                     	07:46                                  	04:43                                  	                                       	2,80                                      	2,80                                      	0,00                       	0,10                       	0,60                        	0,50                        	1,50                        	1,50                        	1,90                         	1,90                         	1,5                                   	1,3                                   	                           	2,4                                  	                            	2,2                                  	                            	                             	0,2                                     	                                      	0,2                                     	                                     	                                        	                                          
6                      	2416            	2                 	98              	19,79                    	8,90                     	                         	08:07                                	15:35                                	                                     	11:09                                  	05:28                                  	                                       	4,85                                      	2,67                                      	0,10                       	0,00                       	1,50                        	0,70                        	2,70                        	0,80                        	3,10                         	2,09                         	1,7                                   	1,6                                   	                           	3,6                                  	                            	2,8                                  	                            	                             	0,1                                     	                                      	0,4                                     	                                     	                                        	                                          
7                      	2710            	1                 	105             	10,89                    	5,58                     	                         	07:39                                	15:14                                	                                     	05:26                                  	03:34                                  	                                       	4,30                                      	3,88                                      	0,10                       	0,00                       	1,30                        	0,90                        	2,50                        	2,30                        	2,70                         	2,50                         	2,0                                   	1,5                                   	                           	3,0                                  	                            	2,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
7                      	3600            	1                 	115             	16,83                    	7,70                     	                         	07:39                                	15:15                                	                                     	09:39                                  	05:03                                  	                                       	3,70                                      	3,55                                      	0,00                       	0,00                       	0,80                        	0,60                        	2,20                        	2,00                        	2,40                         	2,40                         	1,7                                   	1,5                                   	                           	2,8                                  	                            	2,6                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
7                      	3644            	1                 	111             	10,98                    	6,99                     	                         	07:42                                	15:14                                	                                     	06:14                                  	04:22                                  	                                       	5,40                                      	4,73                                      	0,20                       	0,00                       	2,00                        	1,10                        	3,10                        	2,70                        	3,30                         	3,10                         	1,7                                   	1,6                                   	                           	3,7                                  	                            	3,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
7                      	3785            	1                 	108             	16,85                    	9,27                     	                         	07:53                                	15:29                                	                                     	07:47                                  	04:42                                  	                                       	4,33                                      	4,70                                      	0,00                       	0,10                       	0,90                        	1,50                        	2,60                        	2,80                        	2,80                         	2,90                         	2,1                                   	1,9                                   	                           	3,4                                  	                            	3,1                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
7                      	4453            	2                 	109             	11,63                    	5,44                     	                         	07:59                                	15:27                                	                                     	07:35                                  	04:13                                  	                                       	3,45                                      	2,58                                      	0,10                       	0,00                       	0,90                        	0,30                        	2,00                        	1,40                        	2,20                         	1,80                         	1,5                                   	1,2                                   	                           	2,6                                  	                            	2,0                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
7                      	3538            	8                 	115             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
7                      	3460            	1                 	112             	20,00                    	9,58                     	                         	07:38                                	15:14                                	                                     	09:10                                  	05:43                                  	                                       	4,63                                      	3,63                                      	0,10                       	0,00                       	1,60                        	0,90                        	2,60                        	2,00                        	2,90                         	2,40                         	2,1                                   	1,6                                   	                           	3,2                                  	                            	2,8                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
7                      	2483            	2                 	110             	13,97                    	7,01                     	                         	07:59                                	15:35                                	                                     	11:07                                  	06:43                                  	                                       	2,75                                      	2,05                                      	0,10                       	0,00                       	0,30                        	0,20                        	1,50                        	1,00                        	1,90                         	1,50                         	1,2                                   	1,0                                   	                           	2,3                                  	                            	1,9                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
7                      	2431            	1                 	116             	15,27                    	7,52                     	                         	07:53                                	15:26                                	                                     	07:42                                  	04:29                                  	                                       	3,85                                      	4,15                                      	0,20                       	0,10                       	0,80                        	1,10                        	2,00                        	2,30                        	2,60                         	2,70                         	1,9                                   	1,6                                   	                           	3,1                                  	                            	2,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
53                     	                	                  	86              	11,86                    	6,51                     	                         	                                     	                                     	                                     	                                       	                                       	                                       	2,43                                      	2,10                                      	0,08                       	0,05                       	0,51                        	0,34                        	1,37                        	1,03                        	1,60                         	1,49                         	                                      	                                      	                           	2,2                                  	                            	2,0                                  	                            	                             	0,2                                     	                                      	0,1                                     	                                     	                                        	                                          
[Número do grupo] < '8'	                	                  	                	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
