Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
4                      	4587            	1                 	99              	10,50                    	                         	                         	09:39                                	                                     	                                     	19:51                                  	                                       	                                       	1,25                                      	                                          	0,00                       	                           	0,20                        	                            	0,60                        	                            	0,90                         	                             	0,5                                   	                                      	                           	1,3                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
4                      	4581            	1                 	96              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	0,58                                      	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
4                      	4583            	1                 	97              	10,39                    	6,45                     	                         	09:19                                	16:35                                	                                     	10:34                                  	06:38                                  	                                       	2,18                                      	2,25                                      	0,10                       	0,00                       	0,40                        	0,20                        	1,30                        	1,20                        	1,40                         	1,60                         	0,5                                   	0,9                                   	                           	1,9                                  	                            	1,9                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4573            	1                 	94              	3,55                     	1,50                     	                         	09:19                                	16:34                                	                                     	08:10                                  	05:01                                  	                                       	0,98                                      	0,00                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,50                        	0,00                        	0,70                         	0,00                         	0,4                                   	0,2                                   	                           	1,0                                  	                            	0,8                                  	                            	                             	0,0                                     	                                      	0,0                                     	                                     	                                        	                                          
4                      	4546            	1                 	96              	                         	7,36                     	                         	                                     	16:34                                	                                     	                                       	08:45                                  	                                       	1,15                                      	1,03                                      	                           	0,10                       	                            	0,00                        	                            	0,40                        	                             	0,80                         	                                      	0,8                                   	                           	                                     	                            	1,3                                  	                            	                             	                                        	                                      	1,1                                     	                                     	                                        	                                          
4                      	4548            	1                 	96              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	2,13                                      	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
4                      	4550            	1                 	95              	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	1,03                                      	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
4                      	4065            	1                 	99              	6,34                     	3,87                     	                         	08:59                                	16:35                                	                                     	04:36                                  	03:40                                  	                                       	2,20                                      	1,85                                      	0,00                       	0,00                       	0,00                        	0,00                        	1,40                        	0,10                        	1,50                         	1,80                         	1,3                                   	1,0                                   	                           	2,8                                  	                            	2,7                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
5                      	5408            	1                 	83              	10,39                    	7,57                     	                         	08:58                                	16:46                                	                                     	08:08                                  	06:52                                  	                                       	2,23                                      	1,80                                      	0,00                       	0,00                       	0,30                        	0,20                        	1,30                        	0,90                        	1,50                         	1,30                         	1,2                                   	1,1                                   	                           	1,9                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
5                      	4584            	1                 	41              	13,57                    	6,54                     	                         	08:49                                	15:45                                	                                     	15:50                                  	08:00                                  	                                       	0,75                                      	1,08                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,30                        	0,50                        	0,60                         	0,80                         	0,8                                   	0,8                                   	                           	1,5                                  	                            	1,4                                  	                            	                             	0,5                                     	                                      	0,4                                     	                                     	                                        	                                          
5                      	4572            	1                 	47              	8,52                     	6,06                     	                         	08:47                                	16:45                                	                                     	08:54                                  	08:25                                  	                                       	1,43                                      	0,80                                      	0,10                       	0,00                       	0,20                        	0,00                        	0,70                        	0,20                        	1,00                         	0,70                         	0,9                                   	0,7                                   	                           	1,6                                  	                            	1,3                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
